ASV,01A-CR,01B-CR,01C-CR,02A-CR,02B-CR,02C-CR,03A,03B,03C,04A,04B,04C,05A,05B,05C,06A,06B,06C,07A,07B,07C,08A,08B,08C,09A,09B,09C,10A,10B,10C,11A,11B,11C,12A,12B,12C,13A,13B,13C,14A,14B,14C
78748f3ec894a0c6de9c56e15365d1c7,0,378,0,0,298,0,0,203,0,0,0,0,0,573,778,0,0,73,0,362,298,0,2278,0,0,383,30,0,98,0,0,62,0,0,692,81,0,0,94,0,0,0
1dc1f6177dd73dc07bb3eda3ed101a04,0,0,0,0,0,0,0,0,0,0,0,0,0,41,505,0,0,81,0,524,285,0,1155,65,0,341,0,0,70,219,0,385,59,0,533,1158,0,300,549,0,0,0
c7f798d35cdeb031552897d1cc667e60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,4304,1890
d8bcb7a5382faa55f76a978047060ff3,0,82,0,0,41,0,0,0,0,0,62,0,0,1116,3843,0,22,35,0,145,274,0,145,24,0,39,0,0,0,22,0,0,0,0,13,0,0,33,0,0,0,0
7cd9e346d06392496d1c12ecfb897ac5,0,0,0,0,0,0,0,0,0,1077,110,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,544,273,321,343,28,828,81,414,138,111,95,25,0,237
5632db78dc358b36a3a01dc0f55a4134,0,52,0,0,114,0,0,633,0,9,0,0,105,277,3047,0,0,82,55,146,505,0,31,10,0,323,36,0,97,66,0,157,37,0,65,0,0,14,0,0,0,0
11059fe9cae0374f8314617d38785863,0,363,45,0,563,0,0,425,78,0,18,0,0,66,1382,0,17,40,0,400,511,0,233,0,0,107,0,0,78,43,0,145,25,0,228,109,0,290,680,0,0,0
c0218255bc84a1eb7131be7181103b2e,36,91,159,579,18,102,493,215,199,0,0,16,101,0,436,188,67,115,177,64,62,998,145,193,129,26,34,31,20,33,23,0,20,219,36,226,39,65,22,247,11,108
553c3877c28a40b521c4947f931bafe6,0,0,0,0,0,0,343,166,0,0,0,0,282,0,254,27,0,0,0,0,278,0,27,0,0,0,0,0,0,0,0,0,0,2670,1546,87,0,0,0,22,0,0
3adbf823ff38e486453b634b95f2b0e8,0,0,0,0,0,0,0,605,61,0,23,0,0,79,865,0,19,85,0,190,202,0,898,0,0,146,0,0,0,0,0,62,15,0,754,573,0,644,333,0,0,0
